Date,Price,Open,High,Low,Vol.,Change %,Bank
09/07/2023,"30,000.0","30,050.0","30,600.0","29,750.0",1.50M,0.00%,CTS
09/06/2023,"30,000.0","28,700.0","30,750.0","28,250.0",1.95M,4.35%,CTS
09/05/2023,"28,750.0","29,000.0","29,000.0","28,350.0",1.74M,0.17%,CTS
08/31/2023,"28,700.0","28,700.0","29,600.0","28,300.0",1.86M,1.95%,CTS
08/30/2023,"28,150.0","26,350.0","28,150.0","26,350.0",3.66M,6.83%,CTS
08/29/2023,"26,350.0","26,550.0","26,850.0","26,150.0",1.88M,0.19%,CTS
08/28/2023,"26,300.0","25,850.0","26,300.0","25,650.0",1.74M,2.73%,CTS
08/25/2023,"25,600.0","25,250.0","25,700.0","25,000.0",1.43M,0.99%,CTS
08/24/2023,"25,350.0","24,600.0","25,500.0","24,450.0",1.40M,2.84%,CTS
08/23/2023,"24,650.0","25,400.0","25,400.0","24,600.0",914.40K,-1.40%,CTS
08/22/2023,"25,000.0","24,200.0","25,000.0","22,500.0",2.27M,3.73%,CTS
08/21/2023,"24,100.0","24,500.0","24,850.0","23,900.0",1.89M,-0.62%,CTS
08/18/2023,"24,250.0","25,800.0","26,000.0","24,250.0",2.80M,-6.91%,CTS
08/17/2023,"26,050.0","26,000.0","26,850.0","26,000.0",2.11M,0.58%,CTS
08/16/2023,"25,900.0","26,000.0","26,200.0","25,600.0",1.32M,-0.77%,CTS
08/15/2023,"26,100.0","26,600.0","26,700.0","26,050.0",1.02M,-1.51%,CTS
08/14/2023,"26,500.0","26,200.0","26,850.0","25,800.0",2.12M,2.51%,CTS
08/11/2023,"25,850.0","25,200.0","25,850.0","24,500.0",2.02M,3.40%,CTS
08/10/2023,"25,000.0","25,600.0","25,850.0","25,000.0",1.72M,-2.91%,CTS
08/09/2023,"25,750.0","26,250.0","26,250.0","25,700.0",1.81M,-1.90%,CTS
08/08/2023,"26,250.0","26,850.0","27,100.0","26,200.0",1.47M,-2.05%,CTS
08/07/2023,"26,800.0","26,600.0","27,150.0","26,450.0",1.08M,1.71%,CTS
08/04/2023,"26,350.0","26,000.0","26,500.0","25,850.0",1.38M,1.54%,CTS
08/03/2023,"25,950.0","26,000.0","27,000.0","25,750.0",1.96M,-0.19%,CTS
08/02/2023,"26,000.0","25,450.0","26,000.0","25,300.0",1.43M,2.36%,CTS
08/01/2023,"25,400.0","25,900.0","26,000.0","25,350.0",1.60M,-1.55%,CTS
07/31/2023,"25,800.0","25,350.0","26,100.0","25,050.0",2.14M,2.38%,CTS
07/28/2023,"25,200.0","25,050.0","25,350.0","24,850.0",1.90M,1.20%,CTS
07/27/2023,"24,900.0","25,000.0","25,400.0","24,350.0",2.05M,-0.40%,CTS
07/26/2023,"25,000.0","24,500.0","25,150.0","24,500.0",1.62M,1.63%,CTS
07/25/2023,"24,600.0","24,950.0","25,150.0","24,450.0",1.93M,-1.40%,CTS
07/24/2023,"24,950.0","25,400.0","25,400.0","24,650.0",2.47M,3.31%,CTS
07/21/2023,"24,150.0","22,900.0","24,150.0","22,800.0",4.07M,6.86%,CTS
07/20/2023,"22,600.0","22,600.0","22,700.0","22,300.0",1.49M,0.00%,CTS
07/19/2023,"22,600.0","22,600.0","23,350.0","22,400.0",2.18M,-0.44%,CTS
07/18/2023,"22,700.0","22,900.0","22,950.0","22,600.0",1.24M,-1.30%,CTS
07/17/2023,"23,000.0","23,400.0","23,400.0","22,950.0",1.35M,-0.43%,CTS
07/14/2023,"23,100.0","23,200.0","23,250.0","22,450.0",1.97M,0.43%,CTS
07/13/2023,"23,000.0","23,000.0","23,200.0","22,800.0",1.38M,0.22%,CTS
07/12/2023,"22,950.0","22,500.0","23,500.0","22,500.0",1.95M,2.00%,CTS
07/11/2023,"22,500.0","22,900.0","22,900.0","22,350.0",2.35M,-0.66%,CTS
07/10/2023,"22,650.0","22,500.0","22,850.0","22,450.0",1.88M,1.34%,CTS
07/07/2023,"22,350.0","21,800.0","22,350.0","21,400.0",1.51M,1.82%,CTS
07/06/2023,"21,950.0","22,300.0","22,650.0","21,500.0",3.23M,-1.35%,CTS
07/05/2023,"22,250.0","22,900.0","22,900.0","22,200.0",1.27M,-1.98%,CTS
07/04/2023,"22,700.0","21,850.0","22,700.0","21,750.0",3.25M,4.37%,CTS
07/03/2023,"21,750.0","21,900.0","21,900.0","21,500.0",809.10K,1.16%,CTS
06/30/2023,"21,500.0","21,000.0","21,750.0","20,850.0",1.79M,2.38%,CTS
06/29/2023,"21,000.0","21,800.0","21,800.0","21,000.0",1.82M,-3.89%,CTS
06/28/2023,"21,850.0","22,150.0","22,450.0","21,500.0",1.79M,-1.35%,CTS
06/27/2023,"22,150.0","22,900.0","22,900.0","22,000.0",1.46M,-1.56%,CTS
06/26/2023,"22,500.0","21,450.0","22,500.0","20,200.0",4.14M,3.69%,CTS
06/23/2023,"21,700.0","21,500.0","22,000.0","21,050.0",2.75M,1.40%,CTS
06/22/2023,"21,400.0","21,550.0","21,600.0","21,200.0",2.05M,1.18%,CTS
06/21/2023,"21,150.0","20,000.0","21,150.0","20,000.0",5.09M,6.82%,CTS
06/20/2023,"19,800.0","19,600.0","19,800.0","19,300.0",2.07M,1.54%,CTS
06/19/2023,"19,500.0","19,000.0","19,500.0","18,850.0",1.70M,2.90%,CTS
06/16/2023,"18,950.0","19,150.0","19,900.0","18,800.0",3.95M,1.07%,CTS
06/15/2023,"18,750.0","18,900.0","19,000.0","18,550.0",1.35M,-0.79%,CTS
06/14/2023,"18,900.0","19,300.0","19,400.0","18,900.0",1.67M,-2.07%,CTS
