"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2023","7,900.0","7,900.0","7,900.0","7,690.0","463.50K","0.00%"
"02/22/2023","7,900.0","7,990.0","8,140.0","7,900.0","450.10K","-3.66%"
"02/21/2023","8,200.0","8,290.0","8,400.0","8,200.0","497.70K","-1.09%"
"02/20/2023","8,290.0","7,890.0","8,300.0","7,850.0","660.80K","6.28%"
"02/17/2023","7,800.0","7,800.0","7,890.0","7,700.0","236.50K","-0.13%"
"02/16/2023","7,810.0","7,750.0","7,900.0","7,680.0","235.70K","1.43%"
"02/15/2023","7,700.0","7,600.0","7,790.0","7,600.0","281.00K","2.26%"
"02/14/2023","7,530.0","7,400.0","7,600.0","7,350.0","278.00K","2.45%"
"02/13/2023","7,350.0","7,870.0","7,870.0","7,330.0","755.30K","-6.61%"
"02/10/2023","7,870.0","8,000.0","8,000.0","7,850.0","250.00K","-1.63%"
"02/09/2023","8,000.0","8,050.0","8,120.0","8,000.0","151.20K","-0.62%"
"02/08/2023","8,050.0","8,090.0","8,100.0","7,800.0","387.90K","0.75%"
